word_original,word_normalized,pos,count,tag1,tag2,tag3
deutsch,deutsch,ADV,13682,Nation ,Deutsch,
schüler,schüler,NOUN,8975,Schule,Typ,
wort,wort,NOUN,8313,Sprache,,
groß,groß,ADV,7558,,,
dichter,dichter,ADV,7462,Künstler,,
zeit,zeit,NOUN,7213,Zeit,,
leben,leben,VERB,6867,Welt,,
stehen,stehen,VERB,6540,Position,,
alt,alt,ADV,6540,Alter,,
gedicht,gedicht,NOUN,5507,Poetologie,Gattung,
sprechen,sprechen,VERB,5466,Sprache,,
sprache,sprache,NOUN,5361,Sprache,,
lehrer,lehrer,NOUN,5354,Schule,Typ,
unterricht,unterricht,NOUN,5343,Schule,Praxis,
stellen,stellen,VERB,5057,Position,,
weisen,weisen,VERB,4898,Disziplin,,
mensch,mensch,NOUN,4798,Anthropologie,,
einzeln,einzeln,ADV,4500,,,
schön,schön,ADV,4321,Ästhetik,positive Bewertung,
wissen,wissen,VERB,4094,Wissen,,
lesen,lesen,VERB,4035,Praktik,Poetologie,
lieben,lieben,VERB,3894,Emotion ,,
volk,volk,NOUN,3837,Nation,,
schiller,schiller,PROPN,3788,Person,Schriftsteller,
geist,geist,NOUN,3513,Idealismus,,
gott,gott,NOUN,3497,Theologie,,
art,art,NOUN,3380,,,
gedanke,gedanke,NOUN,3351,Idealismus,,
fragen,fragen,VERB,3261,Diskurs,,
denken,denken,VERB,3240,Idealismus,Praktik,
natur,natur,NOUN,3221,Natur,,
sinn,sinn,NOUN,3169,Poetologie,,
schule,schule,NOUN,3160,Schule,,
jahr,jahr,NOUN,3135,Zeit,,
form,form,NOUN,3120,Poetologie,,
bilden,bilden,VERB,3106,Pädagogik,,
geschichte,geschichte,NOUN,3073,Geschichte ,,
liegen,liegen,VERB,3025,,,
hand,hand,NOUN,2980,Ästhetik,Sinnlich,
literatur,literatur,NOUN,2911,Poetologie,,
zweit,zweit,ADV,2882,,,
inhalt,inhalt,NOUN,2859,Poetologie,,
führen,führen,VERB,2781,Disziplin,,
verstehen,verstehen,VERB,2745,Idealismus,Praktik,
kurz,kurz,ADV,2720,,,
stück,stück,NOUN,2711,Lehrmedien,Poetologie,
göthe,göthe,PROPN,2680,Person,Schriftsteller,
stoff,stoff,NOUN,2667,Poetologie,,
glauben,glauben,VERB,2665,Theologie,,
klasse,klasse,NOUN,2653,Schule,,
nennen,nennen,VERB,2648,Praktik,,
herr,herr,NOUN,2644,Gender,Mask,
dichtung,dichtung,NOUN,2603,Poetologie,,
aufsatz,aufsatz,NOUN,2595,Praktik,Prüfung,
zeigen,zeigen,VERB,2590,Position,,
auge,auge,NOUN,2564,Ästhetik,Sinnlich,
lernen,lernen,VERB,2561,Pädagogik,,
kraft,kraft,NOUN,2556,Idealismus,Anthropologie,
früh,früh,ADV,2551,Zeit,,
gewiß,gewiß,ADV,2534,,,
poesie,pösie,NOUN,2520,Poetologie,Gattung,
letzt,letzt,ADV,2491,,,
