word,pos,count,tag1,tag2,tag3
lesebuch,NOUN,1346,Lehrmedien,,
drama,NOUN,1345,Poetologie,Gattung,
stunde,NOUN,1338,Schule,Zeit ,
reich,ADV,1333,Bewertung,Politik,
kenntnis,NOUN,1315,Ziel,,
griechisch,ADV,1313,Sprachen,Klassik,
sittlich,ADV,1312,Moral,,
satz,NOUN,1307,Sprache,,
gefuehl,NOUN,1291,Emotion ,,
stufe,NOUN,1279,Schule,Disziplin,
anschauung,NOUN,1264,Idealismus,Ästhetik,
person,NOUN,1264,Person,,
stuecken,NOUN,1262,Lehrmedien,,
aufsatz,NOUN,1260,Praktik,Prüfung,
fallen,VERB,1257,,,
lang,ADV,1252,Höhe ,,
interesse,NOUN,1248,,,
behandlung,NOUN,1246,Praktik ,,
mittel,NOUN,1246,Praktik,,
fehlen,VERB,1235,,,
kaiser,NOUN,1224,Nation,Person,Narrativ
phantasie,NOUN,1220,Phantasie,Ästhetik,Idealismus
verstaendni,VERB,1219,Idealismus,Praktik,
schliesen,VERB,1218,Zeit,,
lebendig,ADV,1217,Welt,,
jahrhundert,NOUN,1210,Zeit,,
dritt,NOUN,1200,,,
urteil,NOUN,1194,Bewertung,,
schoenen,ADJ,1190,Höhe,Bewertung,Ästhetik
treiben,VERB,1188,Disziplin,Praktik,
gewoehnlich,ADV,1168,Bewertung,,
erklaerung,NOUN,1168,Methode,,
erscheinung,NOUN,1166,Idealismus,Ästhetik,
muttersprache,NOUN,1166,Sprache ,,
ernst,ADV,1162,Bewertung,,
grammatik,NOUN,1152,Sprache,,
spaet,ADV,1138,Zeit,,
leser,NOUN,1132,Poetologie,Rezeption,Lesen
licht,NOUN,1122,,,
freiheit,NOUN,1122,Idealismus,Politik,
methode,NOUN,1120,Methode,,
aufsaetzen,VERB,1113,Methode,,
unmittelbar,ADV,1108,Beschreibung,,
wirkung,NOUN,1105,Ästhetik,Wirkung,
beispiel,NOUN,1103,Methode ,,
himmel,NOUN,1101,Theologie,,
naeher,ADV,1098,Beschreibung,,
gesetz,NOUN,1098,Politik,,
verlangen,VERB,1097,Disziplin,,
stimmen,VERB,1085,Wissen,,
dienen,VERB,1083,Disziplin,,
hervor,ADV,1075,Beschreibung ,,
erreichen,VERB,1066,,,
deutschland,PROPN,1065,Nation,Deutsch,
wirken,VERB,1060,Ästhetik,Wirkung,
bestimmen,VERB,1050,Disziplin,,
vorstellung,NOUN,1049,Idealismus,,
idee,NOUN,1048,Idealismus,,
aufgeben,VERB,1047,Disziplin,Pädagogik,Schule
streng,ADV,1045,Bewertung,,
betrachten,VERB,1042,Ästhetik,Körper,
beginnen,VERB,1041,Praktik,Zeit ,
empfindung,NOUN,1037,Emotion ,,
erde,NOUN,1033,Welt,,
betrachtung,NOUN,1031,Ästhetik,Sinnlich,
practisch,ADV,1028,Praxis,,
zusammenhang,NOUN,1022,,,
grammatisch,ADV,1014,Sprache,,
gluecklich,ADV,1011,Emotion ,,
dramatisch,ADV,1005,Gattung ,,
aesthetisch,ADV,1004,Ästhetik ,,
national,ADV,998,Nation ,,
bemerkung,NOUN,996,Praktik ,,
gegensatz,NOUN,994,Logik,,
behandeln,VERB,992,Praktik ,,
uhland,VERB,988,Person,Schriftsteller,
erheben,VERB,976,Höhe,,
gebildet,VERB,975,Pädagogik,,
still,ADV,975,Tiefe,,
aeusern,NOUN,968,Beschreibung,Raum ,
selten,ADV,964,Bewertung,,
keiner,PRON,962,Negation ,,
hermann,PROPN,962,Person,Literatur,
glueck,NOUN,962,Bewertung,,
wissenschaft,NOUN,955,Wissenschaft,,
wissenschaftlich,ADV,947,Wissenschaft,,
gymnasien,NOUN,940,Schule,,
heilig,ADV,935,Theologie,,
anfang,NOUN,935,,,
gering,ADV,934,Tiefe,,
bedeutend,ADV,934,Bewertung ,,
auswahl,NOUN,934,Praktik,,
taetigkeit,NOUN,922,Praktik,,
schriftlich,ADV,918,Praktik,,
ritter,PROPN,906,Typ,Narrativ,
gymnasium,NOUN,902,Schule,,
formen,NOUN,901,Poetologie,,
franzoesisch,ADV,897,Nation,,
verbindung,NOUN,892,,,
stark,ADV,890,Höhe ,,
gebieten,NOUN,889,Disziplin ,,
ansicht,NOUN,888,,,
auffassung,NOUN,887,Praktik,Idealismus,
blick,NOUN,885,Ästhetik,Körper,
schwert,NOUN,885,Narrativ,,
gestalt,NOUN,885,Beschreibung,,
kreis,NOUN,879,,,
saetzen,NOUN,872,,,
gebrauch,NOUN,871,,,
gemuet,NOUN,869,Emotion ,,
erfahrung,NOUN,865,Ästhetik,Welt,
gelegenheit,NOUN,863,,,
eignen,VERB,863,positive Bewertung,,
not,X,861,Narrativ,,
gesang,NOUN,860,Poetologie,Gattung,
enthalten,VERB,860,Beschreibung,,
richtung,NOUN,858,,,
aussprechen,VERB,854,Sprache,Praktik,
erklaert,VERB,852,Praktik,Methode ,
classe,X,849,,,
saenger,NOUN,846,Poetologie,Typ,
schriftsteller,NOUN,845,Poetologie,Typ,
willen,ADP,839,Idealismus,,
jungfrau,NOUN,837,Gender,Fem,
stueck,NOUN,835,Lehrmedien,Poetologie,
sammlung,NOUN,833,Lehrmedien,,
bemerken,VERB,827,Praktik ,,
karl,PROPN,827,Person,Literatur,Historisch 
vaterland,NOUN,826,Nation,Patriotisch,
trotz,ADP,822,Logik,,
fuehlen,VERB,821,Emotion ,,
schlus,NOUN,820,,,
deutlich,ADV,817,Beschreibung,,
fordern,VERB,817,Disziplin,,
singen,VERB,813,Praktik,Ästhetik,
verhaeltnissen,NOUN,813,,,
gelehrt,VERB,808,positive Bewertung,,
geeignet,ADV,808,Bewertung,,
reihe,NOUN,805,,,
urspruenglich,ADV,799,Zeit,Sprache,
handeln,VERB,796,,,
forderung,NOUN,796,,,
schilderung,NOUN,795,Poetologie,Praktik,
genannt,VERB,793,,,
schaffen,VERB,793,positive Bewertung,Praktik,
verlieren,VERB,792,,,
stolz,ADV,792,Narrativ,Bewertung,
klopstock,NOUN,791,Person,Schriftsteller,
geschichtlich,ADV,789,Geschichte ,,
ideal,ADV,788,Idealismus,Moral ,
bewusstsein,NOUN,787,,,
unterschied,NOUN,787,,,
vollstaendig,ADV,787,Höhe ,,
einleitung,NOUN,784,Poetologie,,
prosa,PROPN,783,Gattung ,,
erfahren,VERB,782,Sinnlich,Welt,
verdienen,VERB,782,,,
bewegung,NOUN,782,,,
vorhanden,ADV,781,,,
maedchen,NOUN,777,,,
pflegen,VERB,775,,,
streben,VERB,771,Disziplin,,
erinnern,VERB,770,Idealismus,,
herrlich,ADV,770,Bewertung,,
fehler,NOUN,766,Disziplin,negative Bewertung,
muendlich,ADV,765,Praktik,,
element,NOUN,765,Medium,,
verbinden,VERB,761,Praktik,,
verhaeltni,NOUN,758,,,
vorliegend,ADV,757,,,
studium,NOUN,752,Praktik,,
juengling,X,751,Typ,Gender,Mask
dichten,VERB,749,Poetologie,Praktik,
erzaehlen,VERB,748,Poetologie,Narrativ,
zeichen,NOUN,744,Poetologie,,
darstellen,VERB,742,Poetologie,Praktik,
boden,NOUN,741,,,
gewalt,NOUN,741,Agonalität,,
vorzugsweise,ADV,739,,,
ruhen,VERB,738,,,
meister,NOUN,737,Höhe,Typ,
stadt,NOUN,736,Ort,,
lust,NOUN,735,positive Bewertung,,
wenden,VERB,734,,,
besprechung,NOUN,734,Praktik,,
